area_code,area_name,area_type,period,valid_industry_count,sales_weight_coverage,store_weight_coverage,sales_rel,transactions_rel,sales_per_store_rel,store_rel,net_entry_rel
3001491,이태원 관광특구,관광특구,long,33,0.9956817280841774,0.9755117658312608,-0.03534732485153346,-0.010880467296901102,-0.12181986665357737,0.06676530612368685,0.013532660966330866
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,long,54,0.9998173489801848,0.9993104161638451,0.18999787451765707,0.18145970629170777,0.12507918190148543,0.06193217987924511,0.0026144342629334854
3001493,동대문패션타운 관광특구,관광특구,long,36,0.996048965182385,0.9961638628844935,0.348131378850892,0.2502580986572043,0.33165077250427705,-0.04154511998220108,-0.01145923346409142
3001494,종로·청계 관광특구,관광특구,long,53,0.9985790123825996,0.9992279482725342,0.05504927997753786,0.09400203628039483,0.08181466098930353,0.01750739387482798,-0.005257779558336047
3001495,잠실 관광특구,관광특구,long,38,0.9055549946266253,0.9260682268017232,0.36918565313730567,0.8296899075151887,0.3569847224376333,0.04257554309985457,0.00382117802631829
3001496,강남 마이스 관광특구,관광특구,long,29,0.9482094085214137,0.9685149066592366,-0.8389460595713579,-0.8880229173207335,-0.9555385703727687,0.04218741491030523,-0.005254572268738417
3110001,이북5도청사,골목상권,long,3,0.5148157910610881,0.8588235294117647,-0.11880866397550198,-0.10879706245148688,-0.05933311677895709,0.12551667433913727,0.003354496621375927
3110002,독립문역 1번,골목상권,long,6,0.9299222743636096,0.8297872340425532,-0.11973271479845521,-0.005700527751723697,0.17700685498878277,-0.28726330156193375,-0.13437072481112441
3110003,세검정초등학교,골목상권,long,11,1.0,1.0,-0.2658039224423548,-0.2949596980739363,-0.07318137012883989,-0.18470048755108365,-0.02285971648555392
3110004,대신고등학교,골목상권,long,2,1.0,1.0,-0.03508612986490417,-0.32589151928542615,0.550905014758408,-0.4759308128341273,-0.10196646301203702
3110005,세검정,골목상권,long,4,0.908610118252134,0.8208955223880597,-0.4356306965844966,-0.5454163499431981,-0.0019109875485437127,-0.3241818685844672,-0.0697806579629708
3110006,부암동주민센터,골목상권,long,1,1.0,1.0,-0.6155048355579764,-0.343100191956939,0.11139374631221009,-0.8433723443117846,-0.10052434995054092
3110008,배화여자대학교(박노수미술관),골목상권,long,14,1.0,1.0,-0.09087018251145798,0.036546322250959946,-0.027459481417465174,-0.06266660859165298,0.02005657884161667
3110009,자하문터널,골목상권,long,5,1.0,1.0,-0.2450923197445893,-0.008333655169138485,-0.05558994755064169,-0.19229452810928907,-0.0181329212263049
3110010,평창동서측,골목상권,long,11,0.967394158358773,0.8071895424836601,-0.4645683744123134,-0.367568988862472,-0.3595956089137067,-0.06134505107615064,-0.0209623327113253
3110012,성곡미술관,골목상권,long,4,1.0,1.0,0.04757968079462975,-0.04706712352021478,0.14524460864304803,-0.12169405677802692,-0.03069455853120574
3110013,체부동홍종문가옥,골목상권,long,1,1.0,1.0,0.5666834655025207,0.35792028513216256,1.4048076824829314,-0.8433723443117846,-0.10814789479982276
3110014,경복고등학교,골목상권,long,2,0.9925913275286367,0.8153846153846154,-0.11959127884811786,-0.20179877538340177,0.34451354261807243,-0.26648304830823116,-0.060391827031607025
3110015,청와대사랑채,골목상권,long,2,1.0,1.0,-0.39326464873965955,-0.41338780568590144,-0.10087211374588184,-0.42275295518640404,-0.06047719722743463
3110016,평창동동측,골목상권,long,4,0.8348093182276901,0.9402985074626866,-0.1403155318135827,-0.23254515156352687,0.1884557983984731,-0.3927272354993626,-0.044344559259058995
3110017,정독도서관,골목상권,long,2,0.7277585426800394,0.6666666666666666,-1.1731553149510532,-1.2599629608852068,-0.9123464630054657,-0.10940316923158411,-0.0044982680196314125
3110018,중앙고등학교,골목상권,long,8,0.9766975003743731,0.9405940594059405,-0.15429708590154903,-0.4846966762207336,-0.13470462247543055,0.043177988642254334,0.011039100595817251
3110019,창덕궁,골목상권,long,5,0.9949124021481511,0.9298892988929889,-0.07453632959817062,-0.15714278488107475,-0.2042837337941368,0.14423541365808348,0.04510699362138368
3110020,서울국제고등학교,골목상권,long,8,0.7995000993233656,0.7352941176470589,0.10115969381509746,0.15627491746405292,0.014356439174716152,-0.09682928298174054,-0.012479245432272322
3110021,성균관대학교,골목상권,long,9,0.8249565930995526,0.9143730886850153,-0.47874260070002256,-0.5957493095722763,-0.3914168581236428,-0.14701562132969956,-0.029546013123759263
3110022,경신고등학교,골목상권,long,6,1.0,1.0,-0.17653862373550405,-0.16325596378940754,0.08203448527409168,-0.3945832443705925,-0.07782578818701137
3110023,서울대병원,골목상권,long,2,0.9349344577369074,0.7857142857142857,-0.33106607687937534,-0.20844617437406923,-1.011331838269701,0.31012053167767906,0.009545016614231001
3110024,혜회동주민센터,골목상권,long,7,0.9731310052396306,0.9354838709677419,-0.010888206144671876,-0.01657394955657543,0.12938333056853046,-0.08845360553209589,-0.008714067999546181
3110025,충신시장옆,골목상권,long,1,1.0,1.0,-1.1356118106467294,-0.977360078524312,-0.58456726405707,-0.5744511254495555,-0.07017034815140623
3110027,혜화역 1번,골목상권,long,5,0.986790690002516,0.7608695652173914,-0.27113581212153437,-0.33091962813335735,-0.4647428757019817,-0.020979234915021117,0.008413726456111282
3110028,이화달팽이길,골목상권,long,10,0.3304247191456334,1.0,0.07781699948436523,-0.031524733349076704,0.11084784072095274,-0.029056747896633834,0.008725752294025476
3110029,동대문역 1번,골목상권,long,8,0.8799285614344774,0.9288888888888889,-0.05003058806599018,0.042236516825266274,0.2012379912416355,-0.21364333172266953,-0.025853035413630047
3110030,동대문역 3번,골목상권,long,3,1.0,1.0,0.6716152629956396,0.6559528990134149,0.6221670234929966,0.07666983182973848,0.014545130555127034
3110031,창신역 1번,골목상권,long,2,0.5731883140693429,0.625,0.38035117800509205,0.3845481138137721,0.5235954433190566,-0.13612943237870326,0.011235730076970013
3110032,수족관거리,골목상권,long,1,0.5120134126306045,0.6304347826086957,-0.8835045611229717,-0.6748662530818552,-0.33819068924229756,-0.8621331979013362,-0.13082928621949455
3110033,창신역 4번,골목상권,long,4,0.9494472175745559,0.8651685393258427,-0.2562477094467667,-0.31020450152390516,-0.39450285247616884,0.15548302346890086,0.04171270088683141
3110034,창신1동주민센터,골목상권,long,3,1.0,1.0,0.005626667282196789,0.5568899395813554,-0.1841410418202107,0.5383128631622084,0.08941936985010207
3110035,동묘앞역 2번,골목상권,long,9,0.8999638196119909,0.806930693069307,-0.16170602698811395,0.015082895361469707,-0.1802203712016987,-0.15706473844585223,-0.00998476204992854
3110036,동묘앞역 3번,골목상권,long,2,1.0,1.0,0.29958139111922155,-0.18711722308774034,0.5160504326212447,0.10025884284779299,-0.02275929293924248
3110037,신설동역 12번,골목상권,long,6,0.9193726384823647,0.9269662921348315,-0.4866606805305905,-0.28139881925398785,-0.4912924599690496,-0.10074789887469783,-0.013366456634365082
3110038,경향신문사,골목상권,long,5,0.6077043951680638,0.6966292134831461,0.22653735231702202,0.21939498185579967,-0.1709525528412189,0.32391354943922035,0.052252372399015465
3110039,회현역 1번,골목상권,long,1,0.3184074989103341,0.627906976744186,0.2275566521895906,0.42596839752454685,0.5190900032941652,-0.32313669716864935,-0.009826432807490878
3110040,중구회현체육센터(정화예술대남산캠퍼스),골목상권,long,5,0.9925304450334326,0.8431372549019608,0.021728908957238145,-0.2758133689933137,0.564936122555557,-0.2701754755891438,-0.02110034639405766
3110041,남산케이블카,골목상권,long,6,1.0,1.0,-0.22681419546391235,-0.18925636315663552,-0.09604152743531345,-0.17004805526206923,-0.03731756003277394
3110042,남산골공원옆,골목상권,long,2,0.9400112662643386,0.5283018867924528,-0.2639843533190596,-0.49229005018155453,-0.1592269093578199,-0.03545462471686839,0.010300817392917608
3110043,충무초등학교,골목상권,long,10,0.6934708367797076,0.7383177570093458,-0.41716212320025947,-0.21511450796638984,-0.8218682429718048,0.23033041627659062,0.00545052314173673
3110044,관성묘,골목상권,long,1,1.0,1.0,-0.2326092226426102,-0.25650291399135916,0.0056796139431520565,-0.45666808979317186,-0.0631597661408242
3110045,동대문역사문화공원역 5번,골목상권,long,8,0.9904997417118494,0.9512195121951219,0.17318296182233742,0.12481672125579552,0.21395632440987605,-0.19584750766642675,-0.03110238399640374
3110048,장충동주민센터,골목상권,long,4,1.0,1.0,0.19167192528395305,0.23953557633002545,0.11228474492763656,0.020963023225392546,0.0047469170003156674
3110049,장충단 고개,골목상권,long,8,0.9549498862559908,0.7491166077738516,-0.33937317949238655,-0.5490754551260162,-0.3866318147845305,-0.03131664168531154,-0.010169667905362799
3110050,약수역 7번,골목상권,long,1,0.8950876448689239,0.7142857142857143,0.5341099541474275,0.6734061548398337,0.813220785253445,-0.27434653299921724,-0.030847453828511902
3110051,한양공고앞 교차로,골목상권,long,4,0.9989937349581433,0.7837837837837838,0.20457404047455685,-0.2706157154299989,0.32831894734266703,-0.21747109643901266,-0.03442223005433754
3110052,장충초등학교,골목상권,long,9,0.916759087462228,0.827027027027027,-0.11872615648330487,0.03796999689544513,0.015095557284412196,-0.07427036216372336,-0.009335409006279724
3110053,청구역 1번,골목상권,long,8,0.9364520335310419,0.8157894736842105,-0.22462380298403745,-0.15107955545451038,-0.4175506135519596,-0.004475537494335342,0.02784056822605835
3110054,청구역 3번,골목상권,long,11,0.9654739244835254,0.9591002044989775,-0.4495845376191055,-0.791504876304313,-0.39591177567842545,-0.11263099280663323,-0.038091752656307626
3110055,황학동벼룩시장,골목상권,long,4,0.5969001689350028,0.6644736842105263,-0.32399758636570275,-0.1791015862993045,-0.22758778645080102,-0.08599147353604628,0.01089885744799168
3110056,신당역 3번,골목상권,long,13,0.8414657051942495,0.9322033898305084,0.054916613857934324,0.23758438419678612,0.0730484484374109,0.017556562371093775,0.012649994594580743
3110057,황학코아루아파트,골목상권,long,9,0.8786603873043314,0.901840490797546,0.16345168269527754,0.0014896277417172697,0.23494607274915025,-0.07628951588072318,-0.028157150617774303
3110058,성심여자고등학교,골목상권,long,11,0.9478973833652126,0.9266917293233082,0.9984647908395391,1.369576102630408,0.9829999991635407,-0.052970092349190964,-0.005458840756452961
3110059,새남터성지,골목상권,long,12,0.28470646172456426,0.7464788732394366,-0.14132468346225624,-0.12488781604259587,-0.1519994750429845,-0.14916000065825563,0.02903738724560659
3110060,효창공원앞역 6번,골목상권,long,12,1.0,1.0,0.1557433306962051,0.276396277731167,0.21041782719648924,-0.002524162020406076,0.03448905673582935
3110061,효창동주민센터,골목상권,long,6,0.9716232392394203,0.875,-0.01938828103139194,0.14419753896428167,0.06590130161720367,-0.08968206644698033,-0.01274477621949377
3110062,한강로동땡땡거리(은행나무길),골목상권,long,10,0.9108683794514552,0.8844444444444445,0.4066886691333628,0.41040010751067135,0.1803262544402379,0.2171078697560493,0.06934088056351986
3110063,효창공원앞역 5번,골목상권,long,12,0.9985044820260374,0.9758620689655172,0.04007353353084396,0.0933937153450664,0.04013165749975906,-0.14690445316104273,-0.025464486815236893
3110064,효창공원앞역 2번,골목상권,long,13,0.9945943151595596,0.895910780669145,0.17104208329297674,-0.07201582210576243,0.13998850337797292,-0.08017297748469546,-0.02224572679476619
3110065,남정초등학교,골목상권,long,1,1.0,1.0,0.5123062008840074,-1.6845175738842288,0.4220930247336164,0.043834504944550406,0.0010667437428315482
