area_code,area_name,area_type,valid_industry_count,sales_weight_coverage,store_weight_coverage,start_food_stores,analysis_avg_food_stores,quarter_observation_rate,all_metric_periods_available,start_store_20,average_store_20,industry_3,observation_80,sales_coverage_70,store_coverage_70,metrics_available,base_eligible,exclusion_reason
3001491,이태원 관광특구,관광특구,33,0.9956817280841774,0.9755117658312608,1306.75,1385.7,1.0,True,True,True,True,True,True,True,True,True,포함
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,54,0.9998173489801848,0.9993104161638451,7250.75,7370.95,1.0,True,True,True,True,True,True,True,True,True,포함
3001493,동대문패션타운 관광특구,관광특구,36,0.996048965182385,0.9961638628844935,14207.0,13762.7,1.0,True,True,True,True,True,True,True,True,True,포함
3001494,종로·청계 관광특구,관광특구,53,0.9985790123825996,0.9992279482725342,3885.75,3888.1,1.0,True,True,True,True,True,True,True,True,True,포함
3001495,잠실 관광특구,관광특구,38,0.9055549946266253,0.9260682268017232,2147.25,2198.45,1.0,True,True,True,True,True,True,True,True,True,포함
3001496,강남 마이스 관광특구,관광특구,29,0.9482094085214137,0.9685149066592366,897.25,900.45,1.0,True,True,True,True,True,True,True,True,True,포함
3110001,이북5도청사,골목상권,3,0.5148157910610881,0.8588235294117647,21.25,19.85,1.0,True,True,False,True,True,False,True,True,False,average_store_20; sales_coverage_70
3110002,독립문역 1번,골목상권,6,0.9299222743636096,0.8297872340425532,35.25,29.7,1.0,True,True,True,True,True,True,True,True,True,포함
3110003,세검정초등학교,골목상권,11,1.0,1.0,72.0,72.3,1.0,True,True,True,True,True,True,True,True,True,포함
3110004,대신고등학교,골목상권,2,1.0,1.0,8.0,7.2,1.0,True,False,False,False,True,True,True,True,False,start_store_20; average_store_20; industry_3
3110005,세검정,골목상권,4,0.908610118252134,0.8208955223880597,33.5,26.65,1.0,True,True,True,True,True,True,True,True,True,포함
3110006,부암동주민센터,골목상권,1,1.0,1.0,4.25,4.2,1.0,True,False,False,False,True,True,True,True,False,start_store_20; average_store_20; industry_3
3110008,배화여자대학교(박노수미술관),골목상권,14,1.0,1.0,140.0,162.8,1.0,True,True,True,True,True,True,True,True,True,포함
3110009,자하문터널,골목상권,5,1.0,1.0,31.5,37.2,1.0,True,True,True,True,True,True,True,True,True,포함
3110010,평창동서측,골목상권,11,0.967394158358773,0.8071895424836601,76.5,74.2,1.0,True,True,True,True,True,True,True,True,True,포함
3110012,성곡미술관,골목상권,4,1.0,1.0,38.75,44.4,1.0,True,True,True,True,True,True,True,True,True,포함
3110013,체부동홍종문가옥,골목상권,1,1.0,1.0,4.75,4.65,1.0,True,False,False,False,True,True,True,True,False,start_store_20; average_store_20; industry_3
3110014,경복고등학교,골목상권,2,0.9925913275286367,0.8153846153846154,16.25,13.25,1.0,True,False,False,False,True,True,True,True,False,start_store_20; average_store_20; industry_3
3110015,청와대사랑채,골목상권,2,1.0,1.0,7.0,6.55,1.0,True,False,False,False,True,True,True,True,False,start_store_20; average_store_20; industry_3
3110016,평창동동측,골목상권,4,0.8348093182276901,0.9402985074626866,16.75,15.55,1.0,True,False,False,True,True,True,True,True,False,start_store_20; average_store_20
3110017,정독도서관,골목상권,2,0.7277585426800394,0.6666666666666666,6.0,5.75,1.0,True,False,False,False,True,True,False,True,False,start_store_20; average_store_20; industry_3; store_coverage_70
3110018,중앙고등학교,골목상권,8,0.9766975003743731,0.9405940594059405,50.5,55.5,1.0,True,True,True,True,True,True,True,True,True,포함
