metric_a,metric_b,spearman_rho,period,high_correlation
sales_rel,sales_rel,1.0,long,True
transactions_rel,sales_rel,0.7865623248443062,long,False
sales_per_store_rel,sales_rel,0.7633457622090423,long,False
store_rel,sales_rel,0.22645927494545634,long,False
net_entry_rel,sales_rel,0.20284506428300814,long,False
sales_rel,transactions_rel,0.7865623248443062,long,False
transactions_rel,transactions_rel,1.0,long,True
sales_per_store_rel,transactions_rel,0.5987029923275476,long,False
store_rel,transactions_rel,0.1743310468579621,long,False
net_entry_rel,transactions_rel,0.17397982517297886,long,False
sales_rel,sales_per_store_rel,0.7633457622090423,long,False
transactions_rel,sales_per_store_rel,0.5987029923275476,long,False
sales_per_store_rel,sales_per_store_rel,1.0,long,True
store_rel,sales_per_store_rel,-0.14465596577790713,long,False
net_entry_rel,sales_per_store_rel,-0.05905904600744056,long,False
sales_rel,store_rel,0.22645927494545634,long,False
transactions_rel,store_rel,0.1743310468579621,long,False
sales_per_store_rel,store_rel,-0.14465596577790713,long,False
store_rel,store_rel,1.0,long,True
net_entry_rel,store_rel,0.7052414897561284,long,False
sales_rel,net_entry_rel,0.20284506428300814,long,False
transactions_rel,net_entry_rel,0.17397982517297886,long,False
sales_per_store_rel,net_entry_rel,-0.05905904600744056,long,False
store_rel,net_entry_rel,0.7052414897561284,long,False
net_entry_rel,net_entry_rel,1.0,long,True
sales_rel,sales_rel,1.0,medium,True
transactions_rel,sales_rel,0.7176689491852474,medium,False
sales_per_store_rel,sales_rel,0.69774744154631,medium,False
store_rel,sales_rel,0.18536938076275333,medium,False
net_entry_rel,sales_rel,0.22946654879827325,medium,False
sales_rel,transactions_rel,0.7176689491852474,medium,False
transactions_rel,transactions_rel,1.0,medium,True
sales_per_store_rel,transactions_rel,0.49454005772297915,medium,False
store_rel,transactions_rel,0.14326942158835276,medium,False
net_entry_rel,transactions_rel,0.20245874963440905,medium,False
sales_rel,sales_per_store_rel,0.69774744154631,medium,False
transactions_rel,sales_per_store_rel,0.49454005772297915,medium,False
sales_per_store_rel,sales_per_store_rel,1.0,medium,True
store_rel,sales_per_store_rel,-0.20214702048727215,medium,False
net_entry_rel,sales_per_store_rel,-0.016423657707095474,medium,False
sales_rel,store_rel,0.18536938076275333,medium,False
transactions_rel,store_rel,0.14326942158835276,medium,False
sales_per_store_rel,store_rel,-0.20214702048727215,medium,False
store_rel,store_rel,1.0,medium,True
net_entry_rel,store_rel,0.5709729281573551,medium,False
sales_rel,net_entry_rel,0.22946654879827325,medium,False
transactions_rel,net_entry_rel,0.20245874963440905,medium,False
sales_per_store_rel,net_entry_rel,-0.016423657707095474,medium,False
store_rel,net_entry_rel,0.5709729281573551,medium,False
net_entry_rel,net_entry_rel,1.0,medium,True
sales_rel,sales_rel,1.0,recent,True
transactions_rel,sales_rel,0.6843374262405963,recent,False
sales_per_store_rel,sales_rel,0.6415482695235699,recent,False
store_rel,sales_rel,0.064318628659307,recent,False
net_entry_rel,sales_rel,0.16722966300344802,recent,False
sales_rel,transactions_rel,0.6843374262405963,recent,False
transactions_rel,transactions_rel,1.0,recent,True
sales_per_store_rel,transactions_rel,0.418417371403248,recent,False
store_rel,transactions_rel,0.07266585511636803,recent,False
net_entry_rel,transactions_rel,0.17922184721164264,recent,False
sales_rel,sales_per_store_rel,0.6415482695235699,recent,False
transactions_rel,sales_per_store_rel,0.418417371403248,recent,False
sales_per_store_rel,sales_per_store_rel,1.0,recent,True
store_rel,sales_per_store_rel,-0.37474926077496473,recent,False
net_entry_rel,sales_per_store_rel,-0.024837386507824764,recent,False
sales_rel,store_rel,0.064318628659307,recent,False
transactions_rel,store_rel,0.07266585511636803,recent,False
sales_per_store_rel,store_rel,-0.37474926077496473,recent,False
store_rel,store_rel,1.0,recent,True
net_entry_rel,store_rel,0.34716133017311385,recent,False
sales_rel,net_entry_rel,0.16722966300344802,recent,False
transactions_rel,net_entry_rel,0.17922184721164264,recent,False
sales_per_store_rel,net_entry_rel,-0.024837386507824764,recent,False
store_rel,net_entry_rel,0.34716133017311385,recent,False
net_entry_rel,net_entry_rel,1.0,recent,True
