area_code,food_overall_rank,food_CoreDeclineScore,area_name,all_industry_rank,all_industry_CoreDeclineScore
3001491,732.0,-0.6719813985125354,이태원 관광특구,931,-0.6488774909692496
3001492,815.0,-1.0530671305906305,명동 남대문 북창동 다동 무교동 관광특구,1028,-1.0792575732610525
3001493,652.0,-0.4598365612842839,동대문패션타운 관광특구,1041,-1.2071406282577968
3001494,757.0,-0.7588048945916839,종로·청계 관광특구,910,-0.6089529381279009
3001495,834.0,-1.394766349736692,잠실 관광특구,1078,-1.803319254443538
3001496,400.0,0.0405800771649266,강남 마이스 관광특구,13,2.6432165825112945
3110002,,,독립문역 1번,243,0.5488300462684341
3110003,48.0,1.2569213963807742,세검정초등학교,151,0.7888610294184498
3110005,,,세검정,46,1.5893500371156626
3110008,638.0,-0.4286006962449005,배화여자대학교(박노수미술관),877,-0.5331825366032221
3110009,319.0,0.1983970963992068,자하문터널,329,0.35825072085507326
3110010,131.0,0.6683055864546198,평창동서측,220,0.6074448539641587
3110012,389.0,0.0540012847238384,성곡미술관,510,0.08308246107085462
3110018,251.0,0.3340199544411792,중앙고등학교,409,0.23768188880931682
3110019,,,창덕궁,1054,-1.3494513424539316
3110020,672.0,-0.5216248043706428,서울국제고등학교,708,-0.21680575766061305
3110021,37.0,1.3852002530393237,성균관대학교,50,1.532141653207195
3110022,,,경신고등학교,81,1.2159696823240642
3110024,,,혜회동주민센터,742,-0.2651474305459204
3110027,277.0,0.279125357357414,혜화역 1번,442,0.20241207275558812
3110028,127.0,0.6751604387926855,,,
3110029,156.0,0.5810953839917646,동대문역 1번,553,0.02473438686497019
3110033,,,창신역 4번,1071,-1.6718181088739785
3110034,,,창신1동주민센터,1082,-2.620685889141399
3110035,42.0,1.356687849361203,동묘앞역 2번,380,0.2817552457329623
3110037,,,신설동역 12번,59,1.4296530991701442
3110040,,,중구회현체육센터(정화예술대남산캠퍼스),771,-0.3233018108620249
3110041,250.0,0.3361433609439319,남산케이블카,254,0.5273387996393482
3110043,520.0,-0.1859033181496907,,,
3110045,748.0,-0.7265802974784611,동대문역사문화공원역 5번,871,-0.5193715095269271
