area_code,area_name,area_type,start_food_stores,analysis_avg_food_stores,quarter_observation_rate,valid_industry_count,sales_weight_coverage,store_weight_coverage,long_sales_rel_score,long_transactions_rel_score,long_sales_per_store_rel_score,long_store_rel_score,long_net_entry_rel_score,long_score,long_sales_rel,long_transactions_rel,long_sales_per_store_rel,long_store_rel,long_net_entry_rel,medium_sales_rel_score,medium_transactions_rel_score,medium_sales_per_store_rel_score,medium_store_rel_score,medium_net_entry_rel_score,medium_score,medium_sales_rel,medium_transactions_rel,medium_sales_per_store_rel,medium_store_rel,medium_net_entry_rel,recent_sales_rel_score,recent_transactions_rel_score,recent_sales_per_store_rel_score,recent_store_rel_score,recent_net_entry_rel_score,recent_score,recent_sales_rel,recent_transactions_rel,recent_sales_per_store_rel,recent_store_rel,recent_net_entry_rel,CoreDeclineScore,overall_rank,area_type_rank,area_name_reference,district,administrative_dong,area_type_reference,centroid_x,centroid_y,sensitivity_scenarios,sensitivity_mean_rank,sensitivity_rank_std,top20_appearances,top20_appearance_rate,strong_decline_candidate
3110361,삼양사거리역 1번,골목상권,28.5,23.9,1.0,5,0.9739928805384168,0.8596491228070176,4.871968549842408,5.643368508739424,2.9288925148045455,2.8697623939698413,3.3895831971443706,4.037868834652011,-1.131063695281796,-1.2278531529328494,-0.7529978516562739,-0.3061165209225585,-0.10034839795394726,5.407233608790003,5.688345777546906,3.6358876108870644,0.5674625771287395,3.232324152352294,3.7948180452361484,-0.7153022061082505,-0.7165910561094309,-0.6281081689854959,-0.07324868892662809,-0.08806027712077581,3.416264919631227,3.37905192130696,1.5497900532117597,0.23701551343608143,2.947397503948505,2.3992277256278802,-0.281810070262722,-0.2623433340043898,-0.21407676910070317,-0.039073158551320875,-0.0936660045203559,3.567445860042013,1,1,삼양사거리역 1번,강북구,송천동,골목상권,201938,457918,11,4.454545454545454,5.592202363356254,11,1.0,False
3110552,성미산체육관,골목상권,33.0,33.8,1.0,6,0.9895509189355828,0.9090909090909091,4.871968549842408,5.643368508739424,4.275291718186841,1.7717150366715468,-0.4012709096916268,3.2620484223324966,-1.709130590886421,-1.74730935599735,-1.8994584960248855,-0.20275103873683867,-0.001972310815305604,5.612956070538731,6.012920210061056,4.1847096827269326,0.976445654636557,0.7696732115000195,3.5827532852832493,-1.200726000604796,-1.4205714569568866,-1.384481253565954,-0.10457721105279102,-0.028261780772959582,5.3544703039879336,6.620959965166603,3.960346487216024,1.327212303012288,0.6100149622188921,3.6443069951589435,-0.425844071500168,-0.533008619558363,-0.5002600236948753,-0.10910208804717618,-0.02421534330389167,3.4377892812767965,2,2,성미산체육관,마포구,성산1동,골목상권,192075,451621,21,39.0,78.56716871569192,17,0.8095238095238095,False
3110146,신자초등학교,골목상권,115.5,108.95,1.0,15,0.905888820924495,0.8354978354978355,4.871968549842408,5.643368508739424,4.275291718186841,1.6154972880553609,1.2449824571509094,3.5600555459777667,-3.605637466198558,-1.7817210034222208,-3.829369982219775,-0.18804536798015106,-0.033664124174053754,5.612956070538731,6.012920210061056,4.1847096827269326,1.3787474179941317,0.6091106548010602,3.6311011266149724,-3.2358758939925925,-1.3285197961982114,-3.2423588488740593,-0.13539393768007119,-0.024362974287199197,5.385440443128399,2.435244903048232,4.1008156029846345,0.7621404059947297,1.3260909634357145,2.8661777057255304,-0.6853735653115312,-0.1944325113931072,-0.5956546349003985,-0.07280462284209661,-0.045492113741712,3.404347481074009,3,3,신자초등학교,광진구,자양3동,골목상권,206474,448005,31,18.838709677419356,36.93697043540843,25,0.8064516129032258,False
3110700,고척초등학교,골목상권,38.25,35.6,1.0,4,0.8011450134931216,0.8431372549019608,4.871968549842408,5.643368508739424,4.275291718186841,2.070874187304535,2.4558052469447262,3.893295483786365,-2.2420808068545632,-2.067630593244311,-2.0664732131993144,-0.23091260176043488,-0.056973519093174226,5.612956070538731,5.483694794949899,3.8499609113341187,1.6816974724302907,1.3582185877164474,3.6854553253541273,-0.8758468211633706,-0.6930039809674096,-0.6611554844493169,-0.15860022176732427,-0.04255293667588352,1.8058964748985329,1.0638887094902552,0.7476623067395294,0.748588856677306,1.3608271208192244,1.1982844021329198,-0.16213863996259573,-0.09575775543566675,-0.11884749927423881,-0.07193413734738298,-0.046524229390449055,3.167582673764944,4,4,고척초등학교,구로구,고척1동,골목상권,187387,444733,21,11.0,13.949910393977445,17,0.8095238095238095,False
3110194,홍파초등학교,골목상권,88.0,85.5,1.0,5,0.9923981141514124,0.9204545454545454,4.871968549842408,4.13221274849236,3.8546697373664363,1.8833882549132452,2.0914820892053734,3.4176092165877634,-1.0624008380984347,-0.9174161361116784,-0.9532501248001992,-0.21326347790811975,-0.049959980503126986,5.612956070538731,6.012920210061056,4.1847096827269326,2.101933919687991,1.869449076155734,4.027806111224679,-0.9230415027261435,-0.8478581441701893,-0.7838915686884639,-0.1907907635285083,-0.054966719721096194,2.6233791296201106,0.5317988989771976,1.259896892143654,0.5207248160645196,2.0799241796254426,1.4713188951600078,-0.22288828943322617,-0.05747169055591019,-0.1796604131304549,-0.05729726170503538,-0.06789076453020015,3.0835858598900536,5,5,홍파초등학교,동대문구,제기동,골목상권,203549,453894,31,9.483870967741936,10.433506817754473,27,0.8709677419354839,False
3110168,대원고등학교,골목상권,40.5,36.0,1.0,5,0.8177972670079983,0.7777777777777778,4.871968549842408,5.506625575024656,4.275291718186841,2.705751513327181,1.7456637414492862,3.850894061148853,-1.3074934814240096,-1.1802925425820705,-1.0735578863863007,-0.29067723804586587,-0.04330267564723061,4.001467620673978,3.651636304015152,2.8552081728434953,0.8440993876000578,1.4114326592904454,2.6100818012761495,-0.5462102807422942,-0.48184984556142646,-0.5075916935013188,-0.09443935160776598,-0.04384508953924015,2.696213526762733,2.5213056595319636,2.7010923324992757,0.4956642517061711,1.0023352940457648,1.8830782726223547,-0.2283008374185115,-0.20062493913976898,-0.35076032840691396,-0.05568749316475253,-0.03587235963202632,3.0487370490490524,6,6,대원고등학교,광진구,중곡4동,골목상권,207751,451529,21,16.571428571428573,22.021742502743574,17,0.8095238095238095,False
3130031,청계천공구상가,전통시장,75.25,56.2,1.0,5,0.7764659904268053,0.7873754152823921,3.917638028823718,5.643368508739424,2.0712381545016836,3.2661419882460123,2.623371469604479,3.5966716236991645,-0.8790334966975157,-1.2553681202642377,-0.567481043684726,-0.3434300007270602,-0.06019931504944836,3.0887974665505116,5.022609532168709,0.3858314913356926,2.803611954806684,2.878330323450679,2.9709844524231963,-0.43643016450004246,-0.639861540104985,-0.12638455546789087,-0.24454001883415927,-0.07946454057786292,0.5646710179369174,2.1185308847860584,-1.762811324844981,2.529194239794491,2.644073700630895,1.3351058207997712,-0.06989936003546056,-0.1716436264869633,0.17919800769871053,-0.18631155069743158,-0.08465334256750656,2.8748583801553242,7,1,청계천공구상가,중구,을지로동,전통시장,199234,452011,31,7.483870967741935,6.9515991816844345,27,0.8709677419354839,False
3110246,월드순복음교회,골목상권,50.25,54.55,1.0,7,0.8973882898251937,0.9800995024875622,4.093199203948224,3.1404908731870753,3.440623817444652,1.238293634411659,-0.25536409161387746,2.3640774568007252,-0.9126505120623717,-0.7277349298789854,-0.8636890137362878,-0.15253702921684895,-0.004781144339611552,5.612956070538731,5.740673385622272,4.1847096827269326,-0.27117435356726965,0.915251479340185,3.30789557232276,-0.9077147571893871,-0.7226220812626614,-0.8210896268827813,-0.00900824211101359,-0.031796736285066705,5.385440443128399,6.620959965166603,4.1008156029846345,-0.041229246464843314,-0.47972028482808343,3.18148453800453,-0.9381164967151847,-0.8020366958312808,-0.8843393702101092,-0.021200070995020564,0.008163966504033813,2.804383755982185,8,7,월드순복음교회,중랑구,상봉2동,골목상권,206971,454832,31,75.96774193548387,144.88972447369937,25,0.8064516129032258,False
3111076,둔촌2동주민센터,골목상권,79.25,74.75,1.0,12,0.9843729998038189,0.9747634069400631,4.871968549842408,5.643368508739424,4.275291718186841,1.5808325520140847,2.3650503169604433,3.7771361707314184,-1.749126110755653,-2.2667403438892735,-1.4197849871138168,-0.18478217798025579,-0.05522640752433681,5.031277323987817,6.012920210061056,2.5983782391549535,1.0908084242085134,0.1944529652532516,3.1072123867747616,-0.6700804746194768,-0.9327559525264099,-0.4679438727715373,-0.11333751619494162,-0.014294187873872924,0.7089193493661394,-0.14585057842763488,-0.5685283304798574,0.20432337042500118,1.374772510189497,0.37859964820692893,-0.08061889704390401,-0.008712004982081951,0.037411742331699485,-0.03697317458523222,-0.04693858882686796,2.760021094111132,9,8,둔촌2동주민센터,강동구,둔촌2동,골목상권,212654,448239,31,21.129032258064516,28.53388854851236,25,0.8064516129032258,False
3110072,열정도,골목상권,36.25,29.65,1.0,3,0.982598990112036,0.7379310344827587,2.257619680131374,3.3742752317058096,0.06686472565358602,3.2818440543713914,3.0817221587837405,2.5220029178530696,-0.561167873535917,-0.7724495824709928,-0.13392065186024263,-0.4398756904428301,-0.06902296564108426,3.5152501256963906,3.9669011297950947,-0.28423928656476477,3.189713413913165,3.2363510065952577,2.914769748500086,-0.487725829512573,-0.5181857333296804,-0.02294316257059628,-0.5337173735720528,-0.1306778779131831,3.874318318336917,4.315084641700136,-0.564843083244215,3.1603358384484155,3.194431021176365,3.0178234173625804,-0.31584942663252635,-0.3296947636962927,0.036974226730320935,-0.3139347340143948,-0.24084624765334575,2.7441497503922014,10,9,열정도,용산구,원효로1동,골목상권,197247,448836,21,13.428571428571429,15.190692639150553,17,0.8095238095238095,False
