quarter,metric,value_2021,peer_2022_2025_median,peer_2022_2025_mad,robust_z,outlier_abs_z_ge_3_5
20211,sales_amount,377415468.0,372539325.0,63950201.0,0.05142921244351132,False
20211,sales_transactions,17618.0,15551.5,2224.5,0.6265826335693414,False
20211,store_count,54.0,45.5,6.0,0.9555271458333333,False
20211,sales_per_store,6989175.333333333,7581603.98435518,946454.7592054261,-0.42219350564207264,False
20211,transactions_per_store,326.25925925925924,317.8158562367865,33.18390151515152,0.1716190240974709,False
20211,sales_per_transaction,21422.151663071858,23743.786671973012,814.5528074608501,-1.9224278676619135,False
20212,sales_amount,423718501.0,361632149.0,109668123.5,0.3818484961939921,False
20212,sales_transactions,18733.0,14838.0,5445.0,0.4824862398989899,False
20212,store_count,54.0,43.5,8.0,0.885267796875,False
20212,sales_per_store,7846638.907407408,8013415.87902098,1150344.3637820515,-0.09778755078136578,False
20212,transactions_per_store,346.9074074074074,335.9711538461538,57.34778554778558,0.12862555824967453,False
20212,sales_per_transaction,22618.827790530082,23316.61627136882,1100.3442526715844,-0.42773084591579563,False
20213,sales_amount,404400729.0,282832158.5,124535991.0,0.6584181333121794,False
20213,sales_transactions,17557.0,11722.5,5121.5,0.7683902072390901,False
20213,store_count,55.0,38.5,12.0,0.92742340625,False
20213,sales_per_store,7352740.527272727,6574987.024398178,1511860.123204023,0.3469810187226474,False
20213,transactions_per_store,319.2181818181818,275.3939492517892,47.26504941599282,0.6253880199614534,False
20213,sales_per_transaction,23033.589394543487,23283.383555418553,911.002234429412,-0.18494312610068347,False
20214,sales_amount,453489677.0,260130391.5,164747132.5,0.7916305076634558,False
20214,sales_transactions,19172.0,10619.0,5752.5,1.0028528173402869,False
20214,store_count,55.0,34.5,13.0,1.063618451923077,False
20214,sales_per_store,8245266.8545454545,6792846.919786096,1906376.631528047,0.5138766088973871,False
20214,transactions_per_store,348.58181818181816,290.24951644100577,57.19875222816401,0.6878566067515074,False
20214,sales_per_transaction,23653.749061130817,22351.69972498263,2705.819132594017,0.32456675342683533,False
