industry_code,area_industry_with_2021_sales,full_2021_observed,absent_sales_2025,absent_2025_share
CS100001,1429,1401,41,0.028691392582225334
CS100002,488,418,81,0.16598360655737704
CS100003,369,318,56,0.15176151761517614
CS100004,356,319,49,0.13764044943820225
CS100005,476,413,85,0.17857142857142858
CS100006,465,403,89,0.1913978494623656
CS100007,664,600,150,0.22590361445783133
CS100008,860,783,103,0.11976744186046512
CS100009,955,914,88,0.09214659685863874
CS100010,1094,1027,63,0.05758683729433273
