group,year,sales_amount,sales_transactions,store_count,sales_per_store,sales_index_2021_100
selected_neighbors,2021,155182074259.0,9288384.0,865.0,179401241.91791907,100.0
selected_neighbors,2022,176356669397.0,9771271.0,889.75,198209237.87243608,113.64500071229841
selected_neighbors,2023,191818253799.0,10060388.0,895.25,214262221.50125664,123.60851259073516
selected_neighbors,2024,182709072145.0,9564978.0,915.0,199682046.0601093,117.7385165248257
selected_neighbors,2025,183810042972.0,9293828.0,1104.75,166381573.18126273,118.44798688875606
target,2021,1659024375.0,73080.0,54.5,30440814.220183488,100.0
target,2022,1768392593.0,74009.0,53.5,33054067.158878505,106.59232134548957
target,2023,1714221418.0,69882.0,47.75,35899924.98429319,103.32707848249667
target,2024,714531811.0,32916.0,29.25,24428437.982905984,43.069398000858186
target,2025,337060671.0,18839.0,21.0,16050508.142857144,20.316800408673924
