area_code,year,observed_all_industry_sales,observed_all_industry_transactions,observed_industries,area_name,group,sales_2022,sales_index_2022_100
3110085,2021,24650966295,1012602,20,경리단길남측,independent_neighbors_equal_weight,27373631970,90.05369226128308
3110085,2022,27373631970,1112366,18,경리단길남측,independent_neighbors_equal_weight,27373631970,100.0
3110085,2023,28340181676,1017348,16,경리단길남측,independent_neighbors_equal_weight,27373631970,103.53095163644812
3110085,2024,29909861946,1091154,17,경리단길남측,independent_neighbors_equal_weight,27373631970,109.26523005343087
3110085,2025,27529767865,1009012,16,경리단길남측,independent_neighbors_equal_weight,27373631970,100.57038793818487
3110087,2021,3172370993,269744,6,이태원엔틱가구거리,independent_neighbors_equal_weight,2850832296,111.27876576434015
3110087,2022,2850832296,222115,5,이태원엔틱가구거리,independent_neighbors_equal_weight,2850832296,100.0
3110087,2023,2410470852,184231,5,이태원엔틱가구거리,independent_neighbors_equal_weight,2850832296,84.5532322396561
3110087,2024,3083964487,200433,6,이태원엔틱가구거리,independent_neighbors_equal_weight,2850832296,108.17768871662874
3110087,2025,3063846498,180610,7,이태원엔틱가구거리,independent_neighbors_equal_weight,2850832296,107.47200045049581
3110091,2021,5840761844,169736,7,리움미술관,leeum,8698177495,67.14926026006555
3110091,2022,8698177495,284083,7,리움미술관,leeum,8698177495,100.0
3110091,2023,8076984747,250778,6,리움미술관,leeum,8698177495,92.85835741617043
3110091,2024,7550273713,212159,6,리움미술관,leeum,8698177495,86.80293909086296
3110091,2025,6367449270,150840,6,리움미술관,leeum,8698177495,73.20440717219464
3110093,2021,28171199354,1043896,17,우사단길,independent_neighbors_equal_weight,29988353897,93.94046585804169
3110093,2022,29988353897,1020852,18,우사단길,independent_neighbors_equal_weight,29988353897,100.0
3110093,2023,32820510618,933514,19,우사단길,independent_neighbors_equal_weight,29988353897,109.44418866979998
3110093,2024,31855665845,731518,17,우사단길,independent_neighbors_equal_weight,29988353897,106.22679042142025
3110093,2025,28178244083,657239,18,우사단길,independent_neighbors_equal_weight,29988353897,93.96395740754187
3110095,2021,24395254231,529057,14,한강진역 3번,independent_neighbors_equal_weight,25912062884,94.14632227549669
3110095,2022,25912062884,548989,17,한강진역 3번,independent_neighbors_equal_weight,25912062884,100.0
3110095,2023,32922705589,585497,16,한강진역 3번,independent_neighbors_equal_weight,25912062884,127.05551748768286
3110095,2024,36318679086,644542,15,한강진역 3번,independent_neighbors_equal_weight,25912062884,140.16128028319122
3110095,2025,33196425518,599416,15,한강진역 3번,independent_neighbors_equal_weight,25912062884,128.11185920090483
3120046,2021,275954558022,10133503,40,이태원(이태원역),independent_neighbors_equal_weight,372925127079,73.9973088387638
3120046,2022,372925127079,14034584,39,이태원(이태원역),independent_neighbors_equal_weight,372925127079,100.0
3120046,2023,327152287637,12165195,38,이태원(이태원역),independent_neighbors_equal_weight,372925127079,87.72599749431646
3120046,2024,338837537634,12494170,39,이태원(이태원역),independent_neighbors_equal_weight,372925127079,90.8594012658796
3120046,2025,336582439627,12058848,36,이태원(이태원역),independent_neighbors_equal_weight,372925127079,90.25469596627603
