year,sales_amount,transactions,segment,dimension,average_ticket
2022,198410740,15644,월,day,12682.864996164664
2023,144949341,10648,월,day,13612.823159278738
2024,102872890,7862,월,day,13084.824472144492
2025,81697727,6395,월,day,12775.25050820954
2022,268407505,21151,화,day,12690.062172001324
2023,215706270,16088,화,day,13407.898433615117
2024,171704972,12140,화,day,14143.737397034596
2025,112785719,8240,화,day,13687.587257281553
2022,282535037,22188,수,day,12733.686542275103
2023,218835792,16396,수,day,13346.901195413515
2024,199933467,14460,수,day,13826.657468879668
2025,141299929,9157,수,day,15430.810199847112
2022,279972675,21690,목,day,12907.914937759337
2023,206286701,15516,목,day,13295.09544985821
2024,205848403,14600,목,day,14099.205684931507
2025,120090513,9362,목,day,12827.442106387523
2022,324559399,24750,금,day,13113.51107070707
2023,262342627,18895,금,day,13884.23535326806
2024,236143124,16849,금,day,14015.26049023681
2025,176705588,11138,금,day,15865.10935536003
2022,488439089,33956,토,day,14384.470756272824
2023,390144007,26743,토,day,14588.64027969936
2024,359374707,24036,토,day,14951.518846729905
2025,227573026,13836,토,day,16447.891442613472
2022,441359109,31620,일,day,13958.226091081593
2023,364072260,24888,일,day,14628.42574734812
2024,310673718,20420,일,day,15214.187952987268
2025,187030371,11843,일,day,15792.482563539643
