year,floating_population,segment,dimension,index_2022_100,change_2022_2025
2022,14756.0,10대,age,100.0,0.0
2023,13566.0,10대,age,91.93548387096774,-0.08064516129032262
2024,14964.25,10대,age,101.41129032258065,0.014112903225806495
2025,15300.0,10대,age,103.68663594470047,0.03686635944700467
2022,53401.25,20대,age,100.0,0.0
2023,56066.0,20대,age,104.9900517309988,0.04990051730998801
2024,61042.75,20대,age,114.30959013131714,0.1430959013131714
2025,61914.0,20대,age,115.94110624751292,0.15941106247512926
2022,56185.0,30대,age,100.0,0.0
2023,57804.25,30대,age,102.88199697428139,0.028819969742813978
2024,60634.75,30대,age,107.91981845688352,0.0791981845688352
2025,61319.0,30대,age,109.1376701966717,0.0913767019667171
2022,35351.5,40대,age,100.0,0.0
2023,39903.25,40대,age,112.87569127194037,0.1287569127194037
2024,44654.75,40대,age,126.31642221687906,0.26316422216879065
2025,47744.5,40대,age,135.05650396729982,0.35056503967299824
2022,21947.0,50대,age,100.0,0.0
2023,25593.5,50대,age,116.61502711076686,0.16615027110766856
2024,29218.75,50대,age,133.13323005422154,0.3313323005422153
2025,30846.5,50대,age,140.54996127033309,0.4054996127033308
2022,18389.75,60대 이상,age,100.0,0.0
2023,21271.25,60대 이상,age,115.6690547723596,0.15669054772359603
2024,25087.75,60대 이상,age,136.4224636006471,0.3642246360064709
2025,27370.0,60대 이상,age,148.832909637162,0.48832909637162003
