year,floating_population,segment,dimension,index_2022_100,change_2022_2025
2022,25160.0,월,day,100.0,0.0
2023,26847.25,월,day,106.70608108108108,0.06706081081081083
2024,30051.75,월,day,119.44256756756756,0.1944256756756757
2025,31356.5,월,day,124.62837837837837,0.24628378378378368
2022,27251.0,화,day,100.0,0.0
2023,30030.5,화,day,110.1996257018091,0.10199625701809101
2024,32937.5,화,day,120.86712414223331,0.20867124142233306
2025,33409.25,화,day,122.59825327510919,0.2259825327510918
2022,28598.25,수,day,100.0,0.0
2023,31297.0,수,day,109.43676623569625,0.09436766235696248
2024,34650.25,수,day,121.1621340466637,0.21162134046663694
2025,34773.5,수,day,121.59310447317581,0.21593104473175817
2022,28861.75,목,day,100.0,0.0
2023,31356.5,목,day,108.64379325577971,0.08643793255779708
2024,33774.75,목,day,117.02252981887793,0.1702252981887793
2025,34650.25,목,day,120.05595641289943,0.20055956412899434
2022,30991.0,금,day,100.0,0.0
2023,33073.5,금,day,106.71969281404279,0.06719692814042788
2024,36176.0,금,day,116.73066374108612,0.16730663741086116
2025,37778.25,금,day,121.90071311025781,0.21900713110257808
2022,31730.5,토,day,100.0,0.0
2023,32737.75,토,day,103.17439057058667,0.031743905705866604
2024,36295.0,토,day,114.38521296544334,0.1438521296544335
2025,38704.75,토,day,121.9796410393785,0.21979641039378506
2022,27438.0,일,day,100.0,0.0
2023,28861.75,일,day,105.18897149938043,0.05188971499380424
2024,31717.75,일,day,115.59789343246591,0.15597893432465915
2025,33821.5,일,day,123.26517967781909,0.23265179677819092
