year,floating_population,segment,dimension,index_2022_100,change_2022_2025
2022,20757.0,00–06시,time,100.0,0.0
2023,20956.75,00–06시,time,100.96232596232598,0.009623259623259717
2024,26180.0,00–06시,time,126.12612612612612,0.26126126126126126
2025,28951.0,00–06시,time,139.47583947583948,0.3947583947583948
2022,34246.5,06–11시,time,100.0,0.0
2023,37213.0,06–11시,time,108.66219905683792,0.08662199056837916
2024,41858.25,06–11시,time,122.22635889798958,0.22226358897989584
2025,42661.5,06–11시,time,124.57185405807894,0.24571854058078935
2022,37340.5,11–14시,time,100.0,0.0
2023,41344.0,11–14시,time,110.72160254951058,0.10721602549510578
2024,44391.25,11–14시,time,118.88231277031642,0.18882312770316423
2025,44931.0,11–14시,time,120.3277942180742,0.20327794218074202
2022,43150.25,14–17시,time,100.0,0.0
2023,46911.5,14–17시,time,108.71663547719885,0.08716635477198853
2024,50201.0,14–17시,time,116.33999803013889,0.1633999803013888
2025,51229.5,14–17시,time,118.72352999113562,0.18723529991135623
2022,47285.5,17–21시,time,100.0,0.0
2023,49852.5,17–21시,time,105.42872550781952,0.05428725507819521
2024,53082.5,17–21시,time,112.2595721732878,0.12259572173287792
2025,55024.75,17–21시,time,116.36706812870754,0.1636706812870754
2022,17250.75,21–24시,time,100.0,0.0
2023,17926.5,21–24시,time,103.91722099039171,0.03917220990391712
2024,19890.0,21–24시,time,115.29933481152995,0.1529933481152994
2025,21696.25,21–24시,time,125.769894062577,0.2576989406257699
