quarter,area_code,industry_code,selection_rank,area_name,area_type,district,administrative_dong,centroid_distance_m,overlap_with_leeum_est_m2,industry_name,sales_amount,transactions,observed,quarter_label
20221,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,43506545.0,400.0,True,2022Q1
20221,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,3773567.0,65.0,True,2022Q1
20221,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2392921365.0,15051.0,True,2022Q1
20221,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2022Q1
20221,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,7435509824.0,62635.0,True,2022Q1
20221,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,2088170723.0,35224.0,True,2022Q1
20221,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1108260788.0,7516.0,True,2022Q1
20221,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2022Q1
20222,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,20935741.0,80.0,True,2022Q2
20222,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,,,False,2022Q2
20222,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2324288645.0,15372.0,True,2022Q2
20222,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2022Q2
20222,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,9536488366.0,89442.0,True,2022Q2
20222,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1705942731.0,28705.0,True,2022Q2
20222,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1096855216.0,4702.0,True,2022Q2
20222,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2022Q2
20223,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,12436003.0,10.0,True,2022Q3
20223,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,18925013.0,65.0,True,2022Q3
20223,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2102683406.0,14102.0,True,2022Q3
20223,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2022Q3
20223,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,9693604080.0,82992.0,True,2022Q3
20223,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1151033550.0,24231.0,True,2022Q3
20223,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,227445591.0,1385.0,True,2022Q3
20223,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2022Q3
20224,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,7029045.0,5.0,True,2022Q4
20224,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,9579307.0,48.0,True,2022Q4
20224,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2571616530.0,10881.0,True,2022Q4
20224,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2022Q4
20224,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,12096230831.0,106788.0,True,2022Q4
20224,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,725689005.0,15952.0,True,2022Q4
20224,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,379801811.0,1445.0,True,2022Q4
20224,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2022Q4
20231,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,,,False,2023Q1
20231,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,7406647.0,82.0,True,2023Q1
20231,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2365976946.0,12824.0,True,2023Q1
20231,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2023Q1
20231,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,9200637914.0,76371.0,True,2023Q1
20231,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,792287135.0,18201.0,True,2023Q1
20231,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1967729269.0,12157.0,True,2023Q1
20231,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,7945728.0,98.0,True,2023Q1
20232,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,10543568.0,16.0,True,2023Q2
20232,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,12552421.0,147.0,True,2023Q2
20232,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2145602212.0,14635.0,True,2023Q2
20232,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2023Q2
20232,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,10512234813.0,79847.0,True,2023Q2
20232,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,822099533.0,18703.0,True,2023Q2
20232,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1629926272.0,13788.0,True,2023Q2
20232,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,2963312.0,48.0,True,2023Q2
20233,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,126022129.0,1260.0,True,2023Q3
20233,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,31344297.0,98.0,True,2023Q3
20233,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2740403276.0,19879.0,True,2023Q3
20233,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2023Q3
20233,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,8472203446.0,64923.0,True,2023Q3
20233,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1050131642.0,20717.0,True,2023Q3
20233,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,3023661811.0,18025.0,True,2023Q3
20233,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,4410663.0,16.0,True,2023Q3
20234,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,233587066.0,1790.0,True,2023Q4
20234,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,11680090.0,114.0,True,2023Q4
20234,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2823230049.0,14344.0,True,2023Q4
20234,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2023Q4
20234,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,13329333148.0,109059.0,True,2023Q4
20234,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1027690067.0,18895.0,True,2023Q4
20234,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1882476824.0,10056.0,True,2023Q4
20234,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2023Q4
20241,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,269471801.0,2260.0,True,2024Q1
20241,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,5480657.0,98.0,True,2024Q1
20241,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2591643737.0,15650.0,True,2024Q1
20241,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2024Q1
20241,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,10808860434.0,81759.0,True,2024Q1
20241,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1048738804.0,17775.0,True,2024Q1
20241,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,2483168974.0,14013.0,True,2024Q1
20241,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2024Q1
20242,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,158911571.0,1703.0,True,2024Q2
20242,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,1283994.0,114.0,True,2024Q2
20242,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2754763096.0,21552.0,True,2024Q2
20242,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2024Q2
20242,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,9354379168.0,76351.0,True,2024Q2
20242,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,1223403949.0,17902.0,True,2024Q2
20242,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,2773437285.0,16393.0,True,2024Q2
20242,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2024Q2
20243,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,162083023.0,1676.0,True,2024Q3
20243,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,137297411.0,212.0,True,2024Q3
20243,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2298697170.0,18802.0,True,2024Q3
20243,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2024Q3
20243,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,8982260773.0,58674.0,True,2024Q3
20243,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,865963522.0,14191.0,True,2024Q3
20243,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1313347355.0,11885.0,True,2024Q3
20243,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2024Q3
20244,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,215990933.0,1584.0,True,2024Q4
20244,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,47550216.0,49.0,True,2024Q4
20244,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2983858126.0,24840.0,True,2024Q4
20244,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2024Q4
20244,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,13381650571.0,89751.0,True,2024Q4
20244,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,942594792.0,16051.0,True,2024Q4
20244,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,2513583771.0,21244.0,True,2024Q4
20244,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2024Q4
20251,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,154657377.0,1465.0,True,2025Q1
20251,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,88291676.0,98.0,True,2025Q1
20251,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,2664751297.0,24270.0,True,2025Q1
20251,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2025Q1
