quarter,industry_code,industry_name,sales_amount,transactions,store_count,open_count,close_count,observed_sales_and_store,quarter_label
20221,CS300011,일반의류,43506545.0,400.0,5,1,0,True,2022Q1
20221,CS300022,화장품,3773567.0,65.0,3,0,0,True,2022Q1
20222,CS300011,일반의류,20935741.0,80.0,7,2,0,True,2022Q2
20222,CS300022,화장품,,,4,1,0,False,2022Q2
20223,CS300011,일반의류,12436003.0,10.0,7,0,0,True,2022Q3
20223,CS300022,화장품,18925013.0,65.0,5,1,0,True,2022Q3
20224,CS300011,일반의류,7029045.0,5.0,7,0,0,True,2022Q4
20224,CS300022,화장품,9579307.0,48.0,5,0,0,True,2022Q4
20231,CS300011,일반의류,,,7,0,0,False,2023Q1
20231,CS300022,화장품,7406647.0,82.0,6,1,0,True,2023Q1
20232,CS300011,일반의류,10543568.0,16.0,8,1,0,True,2023Q2
20232,CS300022,화장품,12552421.0,147.0,6,0,0,True,2023Q2
20233,CS300011,일반의류,126022129.0,1260.0,8,0,0,True,2023Q3
20233,CS300022,화장품,31344297.0,98.0,6,0,0,True,2023Q3
20234,CS300011,일반의류,233587066.0,1790.0,8,0,0,True,2023Q4
20234,CS300022,화장품,11680090.0,114.0,5,0,1,True,2023Q4
20241,CS300011,일반의류,269471801.0,2260.0,8,0,0,True,2024Q1
20241,CS300022,화장품,5480657.0,98.0,5,0,0,True,2024Q1
20242,CS300011,일반의류,158911571.0,1703.0,8,1,1,True,2024Q2
20242,CS300022,화장품,1283994.0,114.0,5,0,0,True,2024Q2
20243,CS300011,일반의류,162083023.0,1676.0,9,1,0,True,2024Q3
20243,CS300022,화장품,137297411.0,212.0,5,0,0,True,2024Q3
20244,CS300011,일반의류,215990933.0,1584.0,9,0,0,True,2024Q4
20244,CS300022,화장품,47550216.0,49.0,5,0,0,True,2024Q4
20251,CS300011,일반의류,154657377.0,1465.0,9,0,0,True,2025Q1
20251,CS300022,화장품,88291676.0,98.0,5,0,0,True,2025Q1
20252,CS300011,일반의류,155419759.0,1579.0,10,1,0,True,2025Q2
20252,CS300022,화장품,124892013.0,180.0,5,0,0,True,2025Q2
20253,CS300011,일반의류,227757067.0,2017.0,12,2,0,True,2025Q3
20253,CS300022,화장품,517343024.0,147.0,5,0,0,True,2025Q3
20254,CS300011,일반의류,211955180.0,1584.0,11,0,1,True,2025Q4
20254,CS300022,화장품,51743614.0,65.0,7,2,0,True,2025Q4
