quarter,observed_industries,sales_amount,sales_transactions,weekday_sales,weekend_sales,weekday_transactions,weekend_transactions,sales_00_06,sales_06_11,sales_11_14,sales_14_17,sales_17_21,sales_21_24,transactions_00_06,transactions_06_11,transactions_11_14,transactions_14_17,transactions_17_21,transactions_21_24,male_sales,female_sales,age20_sales,age30_sales,age40_sales,age50_sales,age60plus_sales,operating_stores,openings,closings,year,quarter_no,sales_per_store,transactions_per_store,sales_per_transaction,net_entry_count,net_entry_rate,weekend_sales_share,weekend_transaction_share,evening_sales_share,night_sales_share,female_sales_share,sales_amount_yoy,sales_transactions_yoy,operating_stores_yoy,sales_per_store_yoy,transactions_per_store_yoy,sales_per_transaction_yoy,weekend_sales_share_yoy,evening_sales_share_yoy,sales_amount_4q_ma
20211,3,1034642353,30092,635911622,398730731,17104,12988,0,1920132,281430463,272118831,373594171,105578756,0,52,9755,9876,10006,403,402135351,460346253,301056679,309393275,113949424,84043303,50981418,22,1,0,2021,1,47029197.86363637,1367.8181818181818,34382.63834241659,1,0.045454545454545456,0.38538025226191375,0.4316097301608401,0.463129047066953,0.102043721382436,0.44493273609494316,,,,,,,,,
20212,3,1461176428,41664,884385538,576790890,24159,17505,0,242903,390455185,315181280,596004746,159292314,0,35,13883,12844,14161,741,538560631,619667227,416131338,384971114,152100920,112450334,87321470,22,0,0,2021,2,66417110.36363637,1893.8181818181818,35070.47878264209,0,0.0,0.3947441793798223,0.42014688940092165,0.516910241314131,0.10901648216296027,0.42408788913203027,,,,,,,,,
20213,3,875769636,24579,563581181,312188455,14030,10549,0,975033,274075510,199205631,335482998,66030464,0,86,9615,8247,6423,208,290048844,349540514,239671743,219783472,75563391,74067660,28278738,22,2,2,2021,3,39807710.72727273,1117.2272727272727,35630.80825094593,0,0.0,0.35647325754052517,0.42918751779974773,0.45846926576933755,0.07539706937270431,0.39912381022536386,,,,,,,,,
20214,4,1898324590,70863,1222292995,676031595,44618,26245,0,19282884,609861148,449392451,704938735,114849372,0,2114,23927,22658,20904,1260,612152293,988328988,646150194,511550393,180203177,173866912,78951957,25,2,1,2021,4,75932983.6,2834.52,26788.6568448979,1,0.04,0.35612012748567934,0.3703625305166307,0.4318482262298462,0.060500386817409345,0.520632242350082,,,,,,,,,1317478251.75
20221,4,1808660741,63676,1061947493,746713248,38438,25238,0,25147469,523566648,409968167,767335172,82643285,0,2172,20446,20023,20380,655,635414858,922106658,608550186,512753232,194145043,167519452,70036350,21,1,5,2022,1,86126701.95238096,3032.190476190476,28404.119935297444,-4,-0.19047619047619047,0.41285423577400465,0.3963502732583705,0.46994908317081674,0.045693082802420376,0.5098284255842097,0.7481023618989624,1.116044131330586,-0.045454545454545414,0.8313453315131987,1.2168081375844237,-0.1738818978223573,0.07129058469093263,0.014725995156330107,1510982848.75
20222,4,2597386176,94374,1602861890,994524286,57684,36690,0,59219002,812402987,541229686,983048464,201486037,0,4526,30730,27136,29712,2270,810875005,1385813429,800638102,786180903,271908030,231839915,99173087,22,1,0,2022,2,118063008.0,4289.727272727273,27522.26435246996,1,0.045454545454545456,0.38289427085947497,0.38877233136245154,0.456048666134119,0.07757261467768742,0.533541543342687,0.7775992865934735,1.2651209677419355,0.0,0.7775992865934735,1.2651209677419355,-0.21522986546474154,-0.030019210261604368,-0.11774108987526499,1795035285.75
20223,4,2092015005,68982,1349050247,742964758,44410,24572,0,27836421,679495027,392974237,867165869,124543451,0,2412,23735,19011,22472,1352,677239023,1090889675,633667019,546470352,278508307,210347375,90111167,21,0,1,2022,3,99619762.14285715,3284.8571428571427,30326.969426806994,-1,-0.047619047619047616,0.3551431305340948,0.35620886608100666,0.47404503200492104,0.059532771372258875,0.5214540394752092,1.3887731647732076,1.8065421701452458,-0.045454545454545414,1.502524267857646,1.9401870353902573,-0.1488554171093811,-0.0037313514500569855,0.03397341413812427,2099096628.0
20224,4,1819004188,55118,1108829319,710174869,33106,22012,0,25867885,606245563,337330046,769912251,79648443,0,2167,19263,15428,17073,1187,638004537,891214087,492576764,566324644,213253665,148379664,101040433,21,0,0,2022,4,86619247.04761904,2624.6666666666665,33001.99912914111,0,0.0,0.3904195898420878,0.39936137015131173,0.46704713469301806,0.043786838713974416,0.4899461435434584,-0.04178442528629944,-0.2221892948365155,-0.16000000000000003,0.1407328270401198,-0.07403487480537563,0.2319392987941682,0.0963143043853587,0.0815075906886733,2079266527.5
20231,4,1953394808,61924,1257017896,696376912,40149,21775,0,22107077,686044137,411279623,734314926,99649045,0,1694,22434,17797,18694,1305,616701036,1052149443,530283024,582583758,241345812,214334108,97096915,22,1,0,2023,1,88790673.0909091,2814.7272727272725,31545.035979587883,1,0.045454545454545456,0.3564957320189621,0.3516407208836638,0.4269305762381242,0.05101326398119514,0.5386261080919184,0.08002278355418779,-0.027514291098687083,0.04761904761904767,0.030930838847179398,-0.07171818695783772,0.11057959378587401,-0.1365094478185105,-0.09153865487392854,2115450044.25
20232,4,2067735689,67512,1293455912,774279777,41444,26068,0,26916689,720746062,430735306,790421265,98916367,0,2048,24013,19025,21142,1284,694906945,1100769060,582162795,558476635,253596511,268305040,128317040,22,0,0,2023,2,93987985.86363636,3068.7272727272725,30627.676398269938,0,0.0,0.3744578096315868,0.3861239483351108,0.43010218217498686,0.047838013110775304,0.5323548197460164,-0.20391672670548622,-0.28463347956004836,0.0,-0.20391672670548633,-0.28463347956004836,0.11283272357353424,-0.02203339634450785,-0.056894112154911025,1983037422.5
