quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20221,3110091,670753207,20973,88060,남성,sex,31981.748295427453,2022
20221,3120005,5161704756,232079,129820,남성,sex,22241.153900180543,2022
20222,3110091,837468808,28203,98022,남성,sex,29694.316491153422,2022
20222,3120005,8455252419,379925,145811,남성,sex,22255.0567059288,2022
20223,3110091,693791271,20102,91154,남성,sex,34513.54447318675,2022
20223,3120005,7279391591,358312,136271,남성,sex,20315.790682422023,2022
20224,3110091,648895363,16872,90474,남성,sex,38459.89586296823,2022
20224,3120005,7538612237,328243,138673,남성,sex,22966.55903400834,2022
20231,3110091,619223282,19155,91987,남성,sex,32326.97896110676,2023
20231,3120005,6345073856,268601,140068,남성,sex,23622.673988555514,2023
20232,3110091,701464130,20868,94656,남성,sex,33614.343971631206,2023
20232,3120005,7590089794,367296,150857,남성,sex,20664.776621580415,2023
20233,3110091,648007991,19485,100674,남성,sex,33256.76114960226,2023
20233,3120005,6477775339,334016,143056,남성,sex,19393.607908004407,2023
20234,3110091,650999257,16944,106998,남성,sex,38420.63603635505,2023
20234,3120005,6992382692,300723,147689,남성,sex,23251.90521509828,2023
20241,3110091,591558315,16226,102748,남성,sex,36457.43344015777,2024
20241,3120005,6192913503,271692,139232,남성,sex,22793.875060730534,2024
20242,3110091,619173618,18151,111112,남성,sex,34112.369456228305,2024
20242,3120005,7908899893,379424,156812,남성,sex,20844.490314265833,2024
20243,3110091,477251895,13612,109769,남성,sex,35061.114825154276,2024
20243,3120005,6148564903,313963,149781,남성,sex,19583.724524864396,2024
20244,3110091,561954594,13658,114784,남성,sex,41144.72060330942,2024
20244,3120005,7656930421,303981,151952,남성,sex,25188.84542454956,2024
20251,3110091,514168720,14054,119187,남성,sex,36585.22271239505,2025
20251,3120005,5583529333,221149,150680,남성,sex,25247.816327453438,2025
20252,3110091,535981598,13787,112149,남성,sex,38875.86842677885,2025
20252,3120005,8158583755,346781,153484,남성,sex,23526.616957099726,2025
20253,3110091,721141002,10133,115736,남성,sex,71167.57149906247,2025
