area_code,industry_code,period_start_store_weight,start_observed_quarters,year_end_store_count,annual_close_count,period,confirmed_structural_exit
3001491,CS100001,110.25,4,156.0,99,long,False
3001491,CS100002,19.25,4,18.0,10,long,False
3001491,CS100003,20.75,4,20.0,21,long,False
3001491,CS100004,190.5,4,214.0,152,long,False
3001491,CS100005,21.5,4,32.0,9,long,False
3001491,CS100006,14.75,4,24.0,19,long,False
3001491,CS100007,5.0,4,5.0,7,long,False
3001491,CS100008,16.75,4,21.0,17,long,False
3001491,CS100009,142.0,4,124.0,143,long,False
3001491,CS100010,77.5,4,112.0,64,long,False
3001492,CS100001,515.0,4,671.0,339,long,False
3001492,CS100002,62.75,4,80.0,47,long,False
3001492,CS100003,69.0,4,81.0,52,long,False
3001492,CS100004,89.25,4,110.0,52,long,False
3001492,CS100005,44.0,4,77.0,41,long,False
3001492,CS100006,18.5,4,43.0,29,long,False
3001492,CS100007,8.25,4,30.0,15,long,False
3001492,CS100008,98.75,4,183.0,73,long,False
3001492,CS100009,66.0,4,86.0,45,long,False
3001492,CS100010,216.75,4,334.0,185,long,False
3001493,CS100001,125.75,4,158.0,98,long,False
3001493,CS100002,25.0,4,25.0,24,long,False
3001493,CS100003,11.0,4,18.0,14,long,False
3001493,CS100004,41.25,4,46.0,32,long,False
3001493,CS100005,14.75,4,18.0,20,long,False
3001493,CS100006,11.0,4,25.0,7,long,False
3001493,CS100007,5.0,4,12.0,6,long,False
3001493,CS100008,49.5,4,54.0,41,long,False
3001493,CS100009,14.75,4,28.0,13,long,False
3001493,CS100010,70.75,4,110.0,75,long,False
3001494,CS100001,425.0,4,506.0,296,long,False
3001494,CS100002,34.0,4,37.0,35,long,False
3001494,CS100003,29.75,4,39.0,26,long,False
3001494,CS100004,17.25,4,35.0,24,long,False
3001494,CS100005,9.25,4,18.0,13,long,False
3001494,CS100006,9.25,4,26.0,10,long,False
3001494,CS100007,16.25,4,22.0,17,long,False
3001494,CS100008,65.0,4,63.0,48,long,False
3001494,CS100009,119.5,4,151.0,98,long,False
3001494,CS100010,112.0,4,159.0,95,long,False
3001495,CS100001,229.25,4,297.0,236,long,False
3001495,CS100002,28.0,4,44.0,26,long,False
3001495,CS100003,46.5,4,72.0,43,long,False
3001495,CS100004,85.25,4,113.0,67,long,False
3001495,CS100005,32.5,4,42.0,29,long,False
3001495,CS100006,29.75,4,61.0,40,long,False
3001495,CS100007,5.25,4,21.0,16,long,False
3001495,CS100008,45.75,4,81.0,55,long,False
3001495,CS100009,78.0,4,90.0,85,long,False
3001495,CS100010,88.5,4,183.0,84,long,False
3001496,CS100001,55.5,4,60.0,28,long,False
3001496,CS100002,9.5,4,15.0,5,long,False
3001496,CS100003,17.25,4,23.0,15,long,False
3001496,CS100004,32.25,4,37.0,16,long,False
3001496,CS100005,16.0,4,25.0,11,long,False
3001496,CS100006,6.25,4,17.0,6,long,False
3001496,CS100007,1.0,4,1.0,0,long,False
3001496,CS100008,19.5,4,18.0,14,long,False
3001496,CS100010,22.5,4,45.0,16,long,False
3110001,CS100001,11.75,4,14.0,5,long,False
3110001,CS100008,3.0,4,2.0,1,long,False
3110001,CS100009,2.5,4,3.0,6,long,False
3110001,CS100010,1.75,4,2.0,1,long,False
3110002,CS100001,8.0,4,6.0,4,long,False
3110002,CS100005,2.0,4,4.0,3,long,False
3110002,CS100006,0.0,4,1.0,0,long,False
3110002,CS100007,3.0,4,2.0,4,long,False
3110002,CS100010,2.0,4,4.0,2,long,False
3110003,CS100001,6.25,4,5.0,6,long,False
3110003,CS100003,1.5,4,1.0,2,long,False
3110003,CS100005,3.0,4,3.0,1,long,False
3110003,CS100006,0.0,4,1.0,0,long,False
3110003,CS100008,4.0,4,3.0,4,long,False
3110003,CS100009,9.5,4,7.0,8,long,False
3110003,CS100010,6.75,4,8.0,3,long,False
3110004,CS100001,5.0,4,3.0,3,long,False
3110004,CS100004,1.0,4,1.0,0,long,False
3110004,CS100006,1.0,4,1.0,1,long,False
3110004,CS100007,0.0,4,2.0,2,long,False
3110004,CS100008,1.0,1,,1,long,False
3110004,CS100010,1.0,4,3.0,1,long,False
3110005,CS100001,9.75,4,6.0,5,long,False
3110005,CS100004,1.0,4,,1,long,False
3110005,CS100005,1.0,4,1.0,0,long,False
3110005,CS100006,1.0,4,1.0,1,long,False
3110005,CS100007,0.0,4,1.0,0,long,False
3110005,CS100008,2.0,4,3.0,0,long,False
3110005,CS100009,1.0,4,2.0,1,long,False
3110005,CS100010,2.0,4,2.0,1,long,False
3110006,CS100003,2.0,4,,2,long,False
3110006,CS100004,2.0,4,2.0,1,long,False
3110006,CS100005,2.0,4,1.0,1,long,False
3110006,CS100006,1.0,4,1.0,0,long,False
3110006,CS100010,4.25,4,3.0,3,long,False
3110007,CS100001,3.5,4,4.0,2,long,False
3110007,CS100003,1.0,4,1.0,0,long,False
3110007,CS100004,1.0,4,,2,long,False
3110007,CS100005,5.25,4,4.0,7,long,False
3110007,CS100006,0.75,4,,3,long,False
3110007,CS100008,3.0,4,1.0,2,long,False
3110007,CS100009,1.0,4,2.0,0,long,False
3110007,CS100010,6.25,4,6.0,7,long,False
3110008,CS100001,15.75,4,18.0,11,long,False
3110008,CS100003,5.5,4,10.0,2,long,False
3110008,CS100004,15.5,4,20.0,10,long,False
3110008,CS100005,7.75,4,9.0,4,long,False
3110008,CS100006,2.5,4,7.0,3,long,False
3110008,CS100007,1.0,4,3.0,0,long,False
3110008,CS100008,8.25,4,3.0,10,long,False
3110008,CS100009,8.25,4,11.0,4,long,False
3110008,CS100010,35.25,4,46.0,22,long,False
3110009,CS100001,11.0,4,10.0,2,long,False
3110009,CS100002,1.0,4,3.0,0,long,False
3110009,CS100003,1.0,4,1.0,0,long,False
3110009,CS100004,6.0,4,7.0,1,long,False
3110009,CS100005,3.0,4,5.0,0,long,False
3110009,CS100006,2.0,4,1.0,3,long,False
3110009,CS100007,2.0,4,1.0,1,long,False
3110009,CS100009,2.0,4,1.0,2,long,False
3110009,CS100010,12.5,4,14.0,6,long,False
3110010,CS100001,8.0,4,11.0,5,long,False
3110010,CS100002,1.0,4,1.0,0,long,False
3110010,CS100003,2.0,4,2.0,1,long,False
3110010,CS100004,2.0,4,2.0,2,long,False
3110010,CS100005,4.0,4,4.0,1,long,False
3110010,CS100008,4.0,4,6.0,1,long,False
3110010,CS100009,4.0,4,2.0,3,long,False
3110010,CS100010,4.75,4,8.0,3,long,False
3110011,CS100001,2.0,4,2.0,0,long,False
3110011,CS100002,1.0,4,1.0,0,long,False
3110011,CS100009,1.0,3,1.0,0,long,False
3110011,CS100010,0.5,2,,2,long,False
3110012,CS100001,15.75,4,13.0,9,long,False
3110012,CS100003,5.0,4,8.0,2,long,False
3110012,CS100004,8.0,4,10.0,7,long,False
3110012,CS100005,0.6666666666666666,3,3.0,1,long,False
3110012,CS100006,0.0,4,2.0,0,long,False
3110012,CS100008,2.0,4,2.0,1,long,False
3110012,CS100009,1.5,4,1.0,3,long,False
3110012,CS100010,10.0,4,12.0,4,long,False
3110013,CS100001,0.6666666666666666,3,,1,long,False
3110013,CS100002,1.0,4,1.0,0,long,False
3110013,CS100003,1.0,4,2.0,0,long,False
3110013,CS100004,1.0,1,,1,long,False
3110013,CS100005,2.0,4,1.0,1,long,False
3110013,CS100010,4.75,4,3.0,6,long,False
3110014,CS100001,6.75,4,5.0,3,long,False
3110014,CS100003,1.0,4,1.0,0,long,False
3110014,CS100010,6.5,4,7.0,6,long,False
3110015,CS100001,4.0,4,4.0,1,long,False
3110015,CS100004,3.0,4,3.0,1,long,False
3110015,CS100010,4.0,4,3.0,1,long,False
3110016,CS100001,5.25,4,4.0,4,long,False
3110016,CS100002,1.0,4,,1,long,False
3110016,CS100004,1.0,4,1.0,0,long,False
3110016,CS100006,1.0,4,1.0,0,long,False
3110016,CS100009,1.0,4,2.0,0,long,False
3110016,CS100010,7.5,4,7.0,6,long,False
3110017,CS100001,2.0,4,4.0,0,long,False
3110017,CS100004,1.0,4,,1,long,False
3110017,CS100010,4.0,4,5.0,4,long,False
3110018,CS100001,7.0,4,9.0,5,long,False
3110018,CS100003,1.0,2,1.0,1,long,False
3110018,CS100004,3.0,4,3.0,1,long,False
3110018,CS100005,1.0,3,,4,long,False
3110018,CS100006,1.0,4,1.0,0,long,False
3110018,CS100007,0.0,4,1.0,0,long,False
3110018,CS100008,3.5,4,2.0,3,long,False
3110018,CS100010,14.25,4,19.0,6,long,False
3110019,CS100001,3.75,4,12.0,5,long,False
3110019,CS100004,10.0,4,16.0,5,long,False
3110019,CS100005,2.25,4,3.0,1,long,False
3110019,CS100006,1.0,4,1.0,1,long,False
3110019,CS100009,5.75,4,12.0,3,long,False
3110019,CS100010,14.5,4,21.0,13,long,False
3110020,CS100001,26.0,4,27.0,9,long,False
3110020,CS100002,4.0,4,7.0,8,long,False
3110020,CS100003,3.0,4,2.0,1,long,False
3110020,CS100004,2.5,4,4.0,3,long,False
3110020,CS100005,0.0,4,2.0,0,long,False
3110020,CS100006,1.5,4,2.0,3,long,False
3110020,CS100007,2.0,4,1.0,4,long,False
3110020,CS100008,12.75,4,13.0,7,long,False
3110020,CS100010,6.5,4,8.0,12,long,False
3110021,CS100001,18.0,4,19.0,9,long,False
3110021,CS100002,2.25,4,4.0,4,long,False
3110021,CS100004,7.25,4,11.0,5,long,False
3110021,CS100005,2.0,4,2.0,1,long,False
3110021,CS100006,2.0,4,4.0,3,long,False
3110021,CS100007,1.25,4,5.0,2,long,False
3110021,CS100008,5.0,4,2.0,7,long,False
3110021,CS100009,19.75,4,18.0,9,long,False
3110021,CS100010,19.0,4,16.0,21,long,False
3110022,CS100001,12.25,4,7.0,7,long,False
3110022,CS100002,1.0,4,,1,long,False
