metric_a,metric_b,spearman_rho,period,high_correlation
sales_rel,sales_rel,1.0,long,True
transactions_rel,sales_rel,0.827187734166494,long,False
sales_per_store_rel,sales_rel,0.72891498335369,long,False
store_rel,sales_rel,0.3102737940015777,long,False
net_entry_rel,sales_rel,0.2514964537427221,long,False
sales_rel,transactions_rel,0.827187734166494,long,False
transactions_rel,transactions_rel,1.0,long,True
sales_per_store_rel,transactions_rel,0.6224975041989019,long,False
store_rel,transactions_rel,0.25535204974823966,long,False
net_entry_rel,transactions_rel,0.2250546279870027,long,False
sales_rel,sales_per_store_rel,0.72891498335369,long,False
transactions_rel,sales_per_store_rel,0.6224975041989019,long,False
sales_per_store_rel,sales_per_store_rel,1.0,long,True
store_rel,sales_per_store_rel,-0.24157713538119363,long,False
net_entry_rel,sales_per_store_rel,-0.09367092252297173,long,False
sales_rel,store_rel,0.3102737940015777,long,False
transactions_rel,store_rel,0.25535204974823966,long,False
sales_per_store_rel,store_rel,-0.24157713538119363,long,False
store_rel,store_rel,1.0,long,True
net_entry_rel,store_rel,0.5743852998697713,long,False
sales_rel,net_entry_rel,0.2514964537427221,long,False
transactions_rel,net_entry_rel,0.2250546279870027,long,False
sales_per_store_rel,net_entry_rel,-0.09367092252297173,long,False
store_rel,net_entry_rel,0.5743852998697713,long,False
net_entry_rel,net_entry_rel,1.0,long,True
sales_rel,sales_rel,1.0,medium,True
transactions_rel,sales_rel,0.7878514956085118,medium,False
sales_per_store_rel,sales_rel,0.6498129985776422,medium,False
store_rel,sales_rel,0.11013288136385833,medium,False
net_entry_rel,sales_rel,0.25911113538846103,medium,False
sales_rel,transactions_rel,0.7878514956085118,medium,False
transactions_rel,transactions_rel,1.0,medium,True
sales_per_store_rel,transactions_rel,0.5044410369261652,medium,False
store_rel,transactions_rel,0.12588139024218,medium,False
net_entry_rel,transactions_rel,0.2313093764865598,medium,False
sales_rel,sales_per_store_rel,0.6498129985776422,medium,False
transactions_rel,sales_per_store_rel,0.5044410369261652,medium,False
sales_per_store_rel,sales_per_store_rel,1.0,medium,True
store_rel,sales_per_store_rel,-0.4728806071001611,medium,False
net_entry_rel,sales_per_store_rel,-0.06266409921842206,medium,False
sales_rel,store_rel,0.11013288136385833,medium,False
transactions_rel,store_rel,0.12588139024218,medium,False
sales_per_store_rel,store_rel,-0.4728806071001611,medium,False
store_rel,store_rel,1.0,medium,True
net_entry_rel,store_rel,0.44863292583722497,medium,False
sales_rel,net_entry_rel,0.25911113538846103,medium,False
transactions_rel,net_entry_rel,0.2313093764865598,medium,False
sales_per_store_rel,net_entry_rel,-0.06266409921842206,medium,False
store_rel,net_entry_rel,0.44863292583722497,medium,False
net_entry_rel,net_entry_rel,1.0,medium,True
sales_rel,sales_rel,1.0,recent,True
transactions_rel,sales_rel,0.7981876629143152,recent,False
sales_per_store_rel,sales_rel,0.555989026058549,recent,False
store_rel,sales_rel,0.08100507754717455,recent,False
net_entry_rel,sales_rel,0.24655576288728365,recent,False
sales_rel,transactions_rel,0.7981876629143152,recent,False
transactions_rel,transactions_rel,1.0,recent,True
sales_per_store_rel,transactions_rel,0.41588230024783435,recent,False
store_rel,transactions_rel,0.10907691538416694,recent,False
net_entry_rel,transactions_rel,0.2242178296017572,recent,False
sales_rel,sales_per_store_rel,0.555989026058549,recent,False
transactions_rel,sales_per_store_rel,0.41588230024783435,recent,False
sales_per_store_rel,sales_per_store_rel,1.0,recent,True
store_rel,sales_per_store_rel,-0.5613062988979927,recent,False
net_entry_rel,sales_per_store_rel,-0.04091689942115109,recent,False
sales_rel,store_rel,0.08100507754717455,recent,False
transactions_rel,store_rel,0.10907691538416694,recent,False
sales_per_store_rel,store_rel,-0.5613062988979927,recent,False
store_rel,store_rel,1.0,recent,True
net_entry_rel,store_rel,0.2866851163993604,recent,False
sales_rel,net_entry_rel,0.24655576288728365,recent,False
transactions_rel,net_entry_rel,0.2242178296017572,recent,False
sales_per_store_rel,net_entry_rel,-0.04091689942115109,recent,False
store_rel,net_entry_rel,0.2866851163993604,recent,False
net_entry_rel,net_entry_rel,1.0,recent,True
